,Book_ID,Judul,No. ISBN,Penulis,Penerbit,Tanggal terbit,Kategori,Description,img_small_link,img_large_link
0,1,Breaking The Wall,9786239015459,HELMY YAHYA,PT Rumah Tulis,Agustus - 2021,Pengembangan Diri,Dapatkan buku terbaru dari Helmy Yahya: Buku Breaking The WallBuku ini Best Seller saat ini.Jangan sampai kehabisan karena buku ini dicetak terbatas!!! silahkan langsung order,https://www.bukukita.com/babacms/displaybuku/117977.jpg,https://www.bukukita.com/babacms/displaybuku/117977_f.jpg
1,2,PROPERTI KO.MO.DO ( PIPO Hargiyanto ),9786235824130,PIPO HARGIYANTO,Bukukita.com,November - 2022,Motivasi,"Properti KO.MO.DO yang ditulis langsung oleh PIPO Hargiyanto, beliau adalah franchisee yang sudah sukses memiliki 30 gerai minimarket waralaba dan 82 kamar kos harian auto pilot beserta propertinya. Di buku tersebut beliau menceritakan secara gamblang bagaimana pengalamannya bisa memiliki puluhan minimarket dan kos harian.Buku ini membimbing Anda untuk bisa memiliki properti autopilot berpenghasilan tinggi dengan modal sekecil-kecilnya.ISI BUKUBuku cerdas yang berisikan tentang pengalaman dan cara memiliki properti autopilot penghasil passive income.- Bab I : PROPERTI, INVESTASI TERBAIK DI DUNIA- Bab II : PROPERTI PENGHASIL PASSIVE INCOME- Bab III : PROPERTI CASHFLOW POSITIF- Bab IV : PROPERTI DP NOL- Bab V : MULAI MENCARI PROPERTI KO.MO.DO- Bab VI : PENGALAMAN SAYA",https://www.bukukita.com/babacms/displaybuku/119484.jpg,https://www.bukukita.com/babacms/displaybuku/119484_f.jpg
2,3,Cahaya Di Penjuru HATI - Based On True Story,9789792966022,Alberthiene Endah,Andi Publisher,Juli - 2018,Kisah Nyata,view Cahaya Di Penjuru HATI - Based On True Story,https://www.bukukita.com/babacms/displaybuku/107702.jpg,https://www.bukukita.com/babacms/displaybuku/107702_f.jpg
3,4,Catatan Ayahasi Ditambah-tambahin (reguler),9786027652972,"Aditya Sudarto, A. Rahmat Hidayat, Dipa Andika Nurprasetyo, Ernest Prakasa, Pandu Gunawan",Buah Hati,Agustus - 2018,Orang Tua dan Anak,view Catatan Ayahasi Ditambah-tambahin (reguler),https://www.bukukita.com/babacms/displaybuku/108233.jpg,https://www.bukukita.com/babacms/displaybuku/108233_f.jpg
4,5,NOAH 6.903 Mil Versi REGULER,9789799106025,Candra Gautama,Kpg,September - 2013,Memoar,view NOAH 6.903 Mil Versi REGULER,https://www.bukukita.com/babacms/displaybuku/67987.jpg,https://www.bukukita.com/babacms/displaybuku/67987_f.jpg
5,6,Buku Panduan Piala Dunia Brazil 2014,9786021258828,John Halmahera,Change,Mei - 2014,Olah Raga,"""Buku ini dapat memberikan gambaran tentang event terbesar sepak bola 'Piala Dunia'."" Indra Sjafri, Head Coach Timnas U-19 Indonesia""Buku ini teman menghirup kopi yang asyik untuk menikmati malam-malam Anda selama berlangsungnya Piala Dunia 2014."" Bung Kus, Komentator Sepak Bola""Banyak hal yang layak dan menarik untuk diketahui tentang sejarah PD terangkumdi buku ini.Ybu will love it!"" @coachtimo,Timo Scheunemann""Buku ini adalah bagian dari pemaparan perjalanan panjang Piala Dunia."" Benny Dollo, mantan Pelatih Timnas""Very inspiring! I Must Have Book for 2014. Sangat informatif untuk jurnalis danpenggemar sepak bola."" Seera Safira, Presenter TvOne""Buku ini menjadi panduan tepat bagi fans dalam menyambut pesta tengah tahun ini."" Agung Harsya, Chief Editor Goal Indonesia""Lengkap beuuudd... Kalau ngaku pecinta bola, wajib punya ini!"" Budhi Prianto, Chief Editor Penerbit Matahari (Sipenggila Bola)",https://www.bukukita.com/babacms/displaybuku/74902.jpg,https://www.bukukita.com/babacms/displaybuku/74902_f.jpg
6,7,Cinta untuk Perempuan yang Tidak Sempurna (Reguler),9786028740760,Najelaa Shihab,Literati-books,Juli - 2020,Islam,view Cinta untuk Perempuan yang Tidak Sempurna (Reguler),https://www.bukukita.com/babacms/displaybuku/116448.jpg,https://www.bukukita.com/babacms/displaybuku/116448_f.jpg
7,8,MBS : Money & Business Skills,97860219729,Santo Vibby,W & G Wealth & Grow,Mei - 2012,Entrepreneurship," Setelah  sukses mencatat buku-buku Best Seller ditopik buku pasar modal, Santo Vibby  menggebrak dgn buku terbarunya bertemakan Financial Literacy untuk mencetak  billionaire usia muda melalu buku MBS  Money & Business Skills. Apa  yang Anda dapatkan sebelumnya dari orang tua, dan apa yang akan Anda ajarkan  mengenai uang dan bisnis sebagai orang tua kepada anak-anak Anda sejak usia  dini saat ini akan memainkan peranan sangat besar nantinya di masa depan  mereka.  Konsep-konsep  penting dalam buku MBS ini telah sekian  lama ""tersembunyi"" oleh golongan orang kaya raya dari kehidupan orang  rata-rata.  Ini  merupakan ""rahasia"" dari golongan kaya raya dan dengan mengerti konsep dalam  buku ini, & mulai mengajarkannya kepada anak-anak Anda, maka akan  tertanam sangat positif secara permanent  dan berkelanjutan dalam cara berpikir serta kebiasaan sang anak mengenai uang  dan bisnis.  Apa  yang akan Anda ajarkan dari buku MBS ini juga akan membentuk kerangka berpikir  sang anak secara cerdas dan tumbuh sebagai pribadi yang melek finansial dan  mandiri nantinya saat mereka dewasa. Dan apa yang dipelajari dari buku ini  hampir tidak pernah Anda dapatkan di Sekolah, Rumah, dan lingkungan. Sebagai  pribadi yang dewasa nantinya, apapun yang dipelajari dari Anda sebagai orang  tua akan terus diingat, diterapkan, dan menjadi dasar finansial yang kuat yang  akan membentuk pandangan-pandangan dan cara hidup mereka akan uang dan bisnis.  Keunggulan:Tema yang hamper tidak pernah ada & selalu ditutup2in oleh  banyak orang kayaIsi buku kaya dengan berbagai gebrakan hal2 baru yang membuat  pembaca baik yang berpendidikan tinggi ataupun pembaca pemula tercengang dengan  apa yang telah dilewati dalam kehidupan finansialnya selama ini.Membuka mata dunia pendidikan tentang apa yang tidak pernah  diajarkan di sekolah, rumah dan lingkungan.Gaya bahasa ringan dan  mengalir, semua rahasia orang menjadi kaya dikupas tuntasPanduan wajib bagi orang tua yang hendak menanamkan pondasi  financial kepada anak-anaknya untuk dapat sukses di usia muda.Cover ekslusif, eye catching, dan harga terjangkauBuku ini akan menjadi buku wajib untuk financial literacy yang  akan mencetak billionaire usia muda.",https://www.bukukita.com/babacms/displaybuku/53209.jpg,https://www.bukukita.com/babacms/displaybuku/53209_f.jpg
8,9,Musketeer Siblings: Membangun Persaudaraan yang Akur dan Kompak di antara Anak-Anak Anda,9786027385177,Dessy Kristiana,Growing Publishing,Oktober - 2017,Orang Tua dan Anak,"""One for All, and All for One""Seperti The Three Musketeers yang kompak dan saling menjaga, demikianlah idealnya hubungan kakak beradik. Bagaimana membimbing anak-anak Anda agar menjadi Musketeer Siblings?Temukan jawabannya dalam buku ini.Sangat komprehensif dalam membahas peran penting orangtua untuk menanamkan jalinan persaudaraan yang indah di antara kakak dan adik di dalam sebuah keluarga.Seto Mulyadi, Pemerhati AnakTulisannya penuh inspirasi yang akan menyentakkan kesadaran kita sebagai orangtua yang semestinya adil tetapi kurang memahami bagaimana cara praktisnya.Jakoep Ezra, Character SpecialistDengan membaca buku ini, kita menjadi tahu apa saja yang perlu kita ajarkan pada anak-anak agar kelak mereka berhasil, membahagiakan orangtua, dan menjadi berkat bagi saudara kandung mereka.Julianto Simanjuntak, Ahli Konseling KeluargaDessy Kristiana adalah seorang Parenting Trainer dan Certified Behavior Consultant. Memiliki passion untuk memperlengkapi para orangtua dalam mempersiapkan generasi mendatang agar melesat ke sasaran uniknya masing-masing dengan mentalitas yang baik dan benar (Archer Parenting). Melayani sebagai pembina komunitas anak dan remaja sejak tahun 2000 hingga sekarang. Selain menjadi narasumber di bidang Parenting, ibu dari Albert, Edrick & Arlynn ini juga adalah pembicara inspirasi tentang pembelajaran hidup dan hubungan dengan Sang Sumber Kehidupan.Dessy dapat dihubungi melalui www.archerparenting.com",https://www.bukukita.com/babacms/displaybuku/103355.jpg,https://www.bukukita.com/babacms/displaybuku/103355_f.jpg
9,10,Hadis Tarbawi,9789796926107,"Hasbiyallah, H., DR., M.Ag., Dkk.",Remaja Rosdakarya,2015,Islam,"Untuk mencapai keberhasilan dalam dunia pendidikan, tentunya banyak fase dan proses yang harus dilalui lebih dulu oleh para pelaku pendidikan, baik yang dilakukan secara individu maupun kelompok, terutama adalah senantiasa bercermin dan menyandarkan konsep pendidikan pada ajaran-ajaran Rasulullah Saw., yang merupakan sosok pendidik paling sukses. Harapan utamanya adalah agar pendidikan berjalan searah dengan visi dan misi pendidikan itu sendiri, yakni perbaikan kualitas kehidupan manusia dalam segala aspeknya.Buku yang ada di tangan pembaca ini berupaya mengetengahkan berbagai ayat dan hadis yang berkaitan dengan pendidikan. Kemudian diuraikan guna memperoleh makna yang terkandung dalam ayat atau hadis tersebut. Dengan pemahaman yang benar, insya Allah materi yang disampaikan kepada peserta didik akan lebih mudah diamalkan sesuai dengan ajaran syariat.",https://www.bukukita.com/babacms/displaybuku/96848.jpg,https://www.bukukita.com/babacms/displaybuku/96848_f.jpg
